mid,aid
4351,9614
4351,2046
4351,10853
4351,4140
4352,1325090
4352,198143
4352,119476
4353,16544
4353,56281
4353,16544
4353,8328
4353,1258
4353,61142
4353,1263
4353,12882
4353,1729
4353,13723
4353,21813
4353,16176
4353,61143
4353,61153
4353,61153
4353,370
4354,42171
4354,229299
4354,229300
4355,67632
4356,11435
4356,11436
4356,11437
4356,4358
4356,11438
4356,11439
4356,11440
4356,11441
4356,11442
4356,11443
4356,11444
4356,11445
4356,11446
4356,8511
4356,3358
4356,7337
4356,26175
4357,8501
4357,8501
4357,8503
4357,30288
4357,871
4357,19606
4358,12011
4358,12011
4358,57522
4358,99452
4358,30970
4359,3146
4359,3146
4359,10535
4359,1931
4359,3146
4359,10602
4360,11438
4360,8505
4360,1118257
4360,3358
4360,9799
4360,80570
4360,122963
4360,122964
4360,9587
4360,14646
4360,13270
4361,2226
4361,18267
4361,58093
4361,2226
4361,19333
4361,10771
4361,16331
4361,10640
4361,2241
4361,66876
4362,58448
4362,58403
4362,65959
4362,9204
4362,60411
4362,1300651
4362,98471
4362,102232
4362,61429
4362,18383
4362,61450
4362,933621
4362,18384
4362,58187
4363,18392
4363,18392
4363,21600
4363,18392
4363,140111
4363,18392
4363,1263
4363,21781
4363,3350
4363,14431
4364,51634
4365,146295
4366,62047
4366,62048
4366,62048
4366,1213
4366,65601
4366,61950
4366,62047
4366,12891
4366,133118
4366,133119
4366,61950
4366,1447301
4366,1447376
4366,1448489
4366,1448084
4366,1452489
4366,1455541
4366,1447576
4366,1447573
4366,1397792
4366,1447503
4366,1447503
4366,1447474
4366,1447357
4366,1397896
4366,12824
4366,7903
4367,12786
4367,20505
4367,20506
4367,1093
4367,1993
4367,490
4367,5912
4367,17629
4367,10819
4367,10714
4367,20507
4367,2523
4367,20513
4367,20514
4367,20515
4368,31026
4368,2043
4368,56053
4368,3393
4368,56324
4368,18276
4368,52112
4369,18878
4369,8120
4369,8162
4369,8162
4369,59327
4369,19769
4369,2986
4369,11874
4369,59328
4369,6898
4369,21673
4369,6875
4369,1720
4369,2519
4369,27543
4369,15328
4369,957127
4369,1338670
4369,1433983
4369,1412187
4369,1332210
4369,23787
4369,23788
4369,1439763
4369,1439764
4369,1411264
4369,1439766
4369,1439767
4369,1439769
4369,1400855
4369,1406239
4369,1319135
4369,1404903
4369,1439872
4369,1360097
4369,1387183
4369,113055
4369,1371064
4369,1341783
4369,91095
4369,1345593
4369,1357061
4369,1440228
4369,1440229
4369,1412227
4369,1407878
4369,1440230
4369,1412228
4369,67865
4369,1243381
4369,1378227
4369,80824
4369,1115736
4369,7859
4369,1421681
4369,1377294
4369,1406110
4369,1389591
4369,1425990
4369,1436183
4369,1440240
4369,92476
4369,18889
4369,1440266
4369,1404288
4369,1391390
4369,149960
4369,1411272
4369,1424180
4369,1409712
4369,1144651
4369,545844
4369,1395288
4369,1392973
4369,1392247
4369,1132695
4369,1095848
4369,1434165
4369,1440269
4369,960696
4369,1319747
4369,1202779
4369,1392248
4369,1440272
4369,34896
4369,1410316
4369,1392250
4369,1440287
4369,1389601
4369,1440288
4369,1440289
4369,1404235
4369,1473757
4369,2986
4369,2986
4369,1349452
4369,1479421
4369,92467
4370,1321004
4370,488
4370,9636
4370,488
4370,2210
4370,5016
4370,2212
4370,488
4370,491
4370,492
4370,493
4370,2952
4370,496
4370,8285
4370,8679
4370,9639
4370,555
4370,2530
4370,489
4370,210110
4370,406204
4370,1400847
4370,1339432
4370,1400848
4370,1400849
4370,1325650
4370,7236
4370,1271735
4370,936669
4370,19863
4370,963355
4370,1171098
4370,1400065
4370,162532
